,Lat,Long,City,Country,Date,Max Temperature,Humidity,Cloudiness,Wind Speed
0,-34.26131246744813,-0.5841214384884097,luderitz,na,1601703820.0,13.54,74.0,0.0,2.14
1,4.030845646221707,-19.262935120707994,goderich,sl,1601703820.0,8.33,69.0,95.0,0.45
3,77.51546725848803,173.19030702211955,pevek,ru,1601703821.0,0.49,87.0,96.0,1.32
4,14.609635565901115,15.299000755072598,mao,td,1601703821.0,16.0,55.0,20.0,3.6
5,4.124654273775576,138.96942758662942,airai,pw,1601703822.0,25.83,43.0,55.0,2.44
6,80.34698935843753,41.55178894850323,ostrovnoy,ru,1601703822.0,5.99,64.0,98.0,2.86
7,71.83797604345267,-110.72234232853023,yellowknife,ca,1601703823.0,5.0,100.0,75.0,3.1
8,-13.766252611033494,116.51269871182768,praya,id,1601703823.0,26.0,78.0,38.0,11.3
9,70.69220362700523,156.01664209056702,srednekolymsk,ru,1601703824.0,1.04,84.0,100.0,2.17
10,33.65360186757232,147.93410703580037,hasaki,jp,1601703824.0,26.11,64.0,75.0,2.6
11,-46.653357803689154,-99.24340449454158,castro,cl,1601703607.0,21.3,40.0,20.0,1.71
12,-45.356206531242684,161.86205336462615,te anau,nz,1601703825.0,10.46,89.0,100.0,3.86
13,-28.46192205102639,145.21651917280735,roma,au,1601703723.0,9.44,93.0,90.0,0.51
14,30.007429214924457,25.049148872999695,bardiyah,ly,1601703826.0,24.66,52.0,0.0,5.13
15,-28.383046605084203,34.62687375057024,richards bay,za,1601703827.0,17.34,89.0,95.0,3.39
16,-33.039337008326285,-154.3640311386123,mataura,pf,1601703827.0,15.56,68.0,98.0,4.92
17,77.02218067851692,-81.03050157630811,qaanaaq,gl,1601703828.0,-6.57,82.0,31.0,2.75
18,54.515079707426764,-173.25836796123625,provideniya,ru,1601703828.0,5.4,87.0,96.0,5.02
19,16.76991340418104,-64.3743913592179,oranjestad,an,1601703806.0,28.75,79.0,98.0,10.0
20,-65.92242779430184,-109.19745499005094,punta arenas,cl,1601703743.0,4.0,64.0,90.0,9.8
22,-80.88802933999233,34.54566071530044,port elizabeth,za,1601703680.0,16.0,87.0,90.0,8.2
23,-69.56470665585721,146.75541862107798,hobart,au,1601703830.0,17.0,77.0,90.0,4.6
24,43.60953841498815,136.97599409292798,kamenka,ru,1601703830.0,14.03,42.0,99.0,4.68
25,67.29760482321518,15.048324091255097,loding,no,1601703831.0,12.0,62.0,1.0,9.8
26,59.863054000589955,-113.59109069349356,hay river,ca,1601703831.0,7.22,82.0,71.0,3.52
27,74.98465316136375,20.567146025177948,skjervoy,no,1601703831.0,9.9,77.0,16.0,5.49
29,-70.58570625920738,119.31743806775364,albany,au,1601703604.0,8.33,83.0,0.0,1.77
31,42.55160164792889,64.08846990269427,gazli,uz,1601703832.0,22.03,20.0,0.0,1.9
32,-43.17357795277602,169.32986156503733,wanaka,nz,1601703833.0,11.74,69.0,100.0,4.99
33,86.74765917625814,-45.57128682770252,upernavik,gl,1601703833.0,0.67,86.0,99.0,1.18
34,16.841458819800025,-22.598227573977056,santa maria,cv,1601703834.0,13.62,80.0,99.0,6.85
35,-79.75725202024674,47.013480683584106,port alfred,za,1601703834.0,15.46,84.0,100.0,9.69
36,-24.92089914197139,45.79782901346766,ambovombe,mg,1601703835.0,22.59,64.0,44.0,6.58
37,44.72930780615829,-103.12843524867802,sturgis,us,1601703835.0,3.89,93.0,1.0,0.85
38,43.27522536456431,5.373595675866028,marseille,fr,1601703836.0,9.0,93.0,79.0,2.6
39,-33.061462897533765,-64.29258847638523,rio cuarto,ar,1601703836.0,6.89,78.0,31.0,4.89
41,-71.9469142469539,-21.850491247552014,mar del plata,ar,1601703623.0,7.0,56.0,40.0,5.1
42,-20.743086980610016,114.6056209808558,karratha,au,1601703837.0,32.32,25.0,0.0,9.73
43,-8.348043193128007,-51.22068249473111,sao felix do xingu,br,1601703838.0,23.54,63.0,45.0,0.65
44,-3.0251939045537455,71.23625008663359,hithadhoo,mv,1601703839.0,28.73,73.0,77.0,4.8
45,54.39064192311298,-0.5662987298449309,scarborough,gb,1601703539.0,13.33,95.0,100.0,0.89
46,30.235519996232583,103.30598903436561,linqiong,cn,1601703839.0,25.0,56.0,100.0,4.0
47,-25.384216508708704,-167.7663366413854,alofi,nu,1601703840.0,26.0,88.0,20.0,5.1
48,-76.89174310573974,87.12055872481949,busselton,au,1601703841.0,17.22,35.0,56.0,5.38
50,56.12721881012416,-7.059443279560099,bowmore,gb,1601703841.0,13.33,76.0,1.0,2.6
51,22.301274299981557,72.98018716141735,padra,in,1601703842.0,31.0,62.0,2.0,1.94
52,-65.24064366034182,161.32352291699465,bluff,nz,1601703842.0,15.56,68.0,98.0,4.92
53,-84.49619734992068,-167.83443925323778,vaini,to,1601703843.0,22.0,94.0,90.0,4.6
55,41.61500291777401,-107.21915095381063,rawlins,us,1601703844.0,8.33,49.0,1.0,3.1
56,57.6540891590451,-51.72981136311165,paamiut,gl,1601703845.0,2.6,86.0,100.0,2.28
